,content
0,"　　,中新网,1月7日电  恰逢CES 2017拉开大幕，却惊闻“AlphaGo升级版”的Master迎来60连胜，人类顶尖围棋手在一周内纷纷败给这个谷歌旗下DeepMind团队打造的“围棋大脑”，显然也为聚焦于人工智能的本届CES增添了声势。而首次参展，并致力于打造“原创AI大脑”的中国深度学习领军企业的商汤科技，在人工智能的浪潮之巅，及众多业界前辈和巨匠面前，将会交出一份怎样的答卷呢？"
1,　　徐立，商汤科技CEO在谈起本次参展时谈到：“作为一个成立刚刚两年的创业公司，这次参展，一方面是展示我们最新的人工智能技术和产品，但另一方面，其实是向外表达，我们对于人工智能的理解。人工智能在特定领域中超越人类，是其广泛应用的标志。这与Master的胜利，为围棋世界开拓的新局面不谋而合。”
2,　　正如最后挑战Master的古力在落败后发表的观点：“人类与人工智能共同探索围棋世界的大幕即将拉开，新一次的围棋革命正在进行着”。商汤科技的展台，尽管只有两块屏幕，但却带来对人工智能带来的变革的最好诠释：一面是可以通过深度学习，在千万级目标库中，300ms内即可获得比对结果的人脸识别“黑科技”；另一面，是国产前十智能手机都在运用的手机“电眼神器”。
3,"　,　SenseFace人脸布控的“黑科技”"
4,　　本届大展最大的看点，无疑是“被誉为2016全美科技第一神股”英伟达的首次CES主题演讲。现场，英伟达创始人、总裁兼首席执行官黄仁勋揭晓了一套全新的人工智能辅助驾驶系统AI Co-Pilot。
5,　　本次商汤带来的，和黄仁勋的展示“遥相呼应”——SenseFace人脸布控系统，可以在千万级人员库中300ms内获得识别结果，瞬间锁定目标，而功耗却只需十几瓦，当属人脸布控一大“黑科技”！
6,　　具体来说，它拥有极速搜索、高速入库、灵活布控、属性识别等优势功能，支持在千路级视频监控系统中进行多角度人脸捕捉及实时人脸识别。即便是在光照、角度、表情、遮挡、年龄变化等情况下仍能保持高准确率的识别能力。
7,　　由于体积小、功耗低，这套系统可轻易部署在机器人、无人机等智能设备中，为智能视频在现实环境中的应用，带来更加灵活的解决方案，助力智慧城市建设。
8,　　这并非“SenseFace”的首秀，在去年秋季英伟达的GTC台湾大会上，黄仁勋就为SenseFace做了特别介绍讲解。商汤科技的产品能够备受英伟达的“钟爱”，还在于两家公司是平台级合作伙伴。
9,　　此前，商汤科技构建了连接200块GPU的国内最大深度学习超算平台，目的很简单——打造自己的“原创AI大脑”。此次，商汤成功地将SenseFace“搬”到Jetson嵌入式平台上，无疑源自这一“原创大脑”的超高智慧。
10,"　,　吸引了国产手机前十的“电眼神器”"
11,　　此前，用户追求用大像素手机，以拍出如“人眼”看到的一样清晰的照片。但如今，背景虚化、暗光拍照、光学变焦以及智能相册，正逐渐成为手机新一波的卖点和用户选购的理由。这些功能的实现，离不开AI内核的“电眼”。商汤科技为实现这些特殊功能打造的“电眼神器”，成功吸引了国内手机前十的知名品牌！
12,　　现场，商汤科技展示了基于原创的智能化深度学习引擎，所实现的人脸艺术画、哈哈镜、美颜、背景虚化等应用效果，即便是在遇到暗光、逆光、大角度的情况下，效果也全然不成问题。OPPO的自拍背景虚化，就来自其中。
13,　　手机双摄是领先时代的拍照技术，商汤科技可为其提供包括实时深度计算、超分辨率、图像增强等软件算法，让背景虚化、先拍照后对焦、暗光拍照、光学变焦、以及虚拟现实3D相册等新潮应用成为现实。360手机(奇酷)Q5系列出色的双摄体验，正是商汤技术的得力体现。
14,　　手机中上百数千张照片，如何归类始终是个难题。商汤科技的深度学习技术，可以实现人脸聚类以及多达53类常见照片类型的精准分类！拥有宝宝相册、面孔相册功能的小米MIUI，以及可以按照人像、美食等进行归类的华为EMUI，背后正是来自商汤科技的智能核心，vivo也将在今年加入商汤驱动的智能相册产品。
